Experiment,Feature-Set,Model,Test-Day,Train-Rows,Test-Rows,Accuracy,Precision,Recall,F1
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Friday,252620,703245,74.9541,89.2996,44.3523,59.268
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Friday,252620,703245,70.3139,98.4081,28.1996,43.8372
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Friday,252620,703245,74.8863,89.001,44.354,59.2037
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Friday,252620,703245,70.359,98.7816,28.2009,43.8759
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Monday,484736,529918,93.2233,0.0,0.0,0.0
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Monday,484736,529918,99.8405,0.0,0.0,0.0
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Monday,484736,529918,93.1929,0.0,0.0,0.0
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Monday,484736,529918,99.8441,0.0,0.0,0.0
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Thursday,468368,458968,79.6406,0.0274,1.1282,0.0535
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Thursday,468368,458968,99.1378,1.068,0.8574,0.9512
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Thursday,468368,458968,79.5234,0.0272,1.1282,0.0532
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Thursday,468368,458968,99.1278,1.0411,0.8574,0.9404
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Tuesday,456056,445909,90.1484,10.5252,28.9989,15.4447
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Tuesday,456056,445909,96.4616,0.4084,0.0578,0.1013
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Tuesday,456056,445909,90.183,10.5679,28.9989,15.4906
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Tuesday,456056,445909,95.9061,0.2252,0.0723,0.1094
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Wednesday,285284,692703,77.9247,90.0125,44.4078,59.474
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Wednesday,285284,692703,63.8037,98.7921,0.7769,1.5417
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Wednesday,285284,692703,78.0371,90.1353,44.6781,59.7429
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Wednesday,285284,692703,63.8193,99.1831,0.8169,1.6204
