Experiment,Feature-Set,Model,Test-Day,Train-Rows,Test-Rows,Accuracy,Precision,Recall,F1
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Friday,252620,703245,75.2041,87.6015,46.1825,60.4805
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Friday,252620,703245,70.3115,98.3832,28.2009,43.8364
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Friday,252620,703245,75.1395,87.5585,46.0296,60.3389
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Friday,252620,703245,70.346,98.668,28.2023,43.8663
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Monday,484736,529918,93.1478,0.0,0.0,0.0
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Monday,484736,529918,99.8581,0.0,0.0,0.0
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Monday,484736,529918,93.171,0.0,0.0,0.0
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Monday,484736,529918,99.8685,0.0,0.0,0.0
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Thursday,468368,458968,79.606,0.0273,1.1282,0.0534
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Thursday,468368,458968,99.1372,1.0662,0.8574,0.9505
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Thursday,468368,458968,79.5066,0.0272,1.1282,0.0531
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Thursday,468368,458968,99.1455,1.0894,0.8574,0.9596
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Tuesday,456056,445909,90.3976,10.8412,28.9989,15.7822
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Tuesday,456056,445909,96.2573,0.2787,0.0578,0.0958
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Tuesday,456056,445909,90.3927,10.8348,28.9989,15.7754
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Tuesday,456056,445909,95.9137,0.1137,0.0361,0.0549
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Wednesday,285284,692703,78.4346,91.2677,45.2033,60.4612
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Wednesday,285284,692703,63.7498,98.9987,0.6261,1.2443
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Wednesday,285284,692703,78.6634,91.6239,45.6818,60.9668
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Wednesday,285284,692703,63.7768,99.1587,0.6997,1.3896
