Experiment,Feature-Set,Model,Test-Day,Train-Rows,Test-Rows,Accuracy,Precision,Recall,F1
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Friday,252620,703245,75.1152,89.0727,44.9435,59.7426
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Friday,252620,703245,70.3118,98.2597,28.2383,43.8693
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Friday,252620,703245,74.8732,87.9558,45.0033,59.5417
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Friday,252620,703245,70.361,98.7605,28.212,43.8872
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Monday,484736,529918,93.2182,0.0,0.0,0.0
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Monday,484736,529918,99.8566,0.0,0.0,0.0
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Monday,484736,529918,93.1931,0.0,0.0,0.0
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Monday,484736,529918,99.8577,0.0,0.0,0.0
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Thursday,468368,458968,79.6491,0.0274,1.1282,0.0535
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Thursday,468368,458968,99.1274,1.0935,0.9025,0.9889
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Thursday,468368,458968,79.699,0.0275,1.1282,0.0536
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Thursday,468368,458968,99.1461,1.0913,0.8574,0.9603
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Tuesday,456056,445909,90.3586,10.7905,28.9989,15.7284
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Tuesday,456056,445909,96.5186,0.2943,0.0361,0.0644
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Tuesday,456056,445909,90.4028,10.8479,28.9989,15.7894
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Tuesday,456056,445909,95.9068,0.1355,0.0434,0.0657
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Wednesday,285284,692703,78.0843,88.9356,45.5895,60.2792
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Wednesday,285284,692703,63.7374,97.0738,0.6039,1.2004
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Wednesday,285284,692703,77.9445,88.3469,45.5417,60.1017
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Wednesday,285284,692703,63.754,97.1057,0.6506,1.2926
