Experiment,Feature-Set,Model,Test-Day,Attack-Type,Attack-Rows,Train-Rows,Test-Rows,Precision,Recall,F1
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Thursday,WEB ATTACK - BRUTE FORCE,1507,468368,458259,0.0,0.0,0.0
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Thursday,WEB ATTACK - SQL INJECTION,21,468368,456773,0.2909,23.8095,0.5747
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Thursday,WEB ATTACK - XSS,652,468368,457404,1.0964,2.9141,1.5933
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Tuesday,FTP-PATATOR,7938,456056,440012,10.3853,50.189,17.2095
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Tuesday,SSH-PATATOR,5897,456056,437971,0.0814,0.4748,0.1389
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Tuesday,FTP-PATATOR,7938,456056,440012,0.0595,0.0126,0.0208
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Tuesday,SSH-PATATOR,5897,456056,437971,0.2967,0.0848,0.1319
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Tuesday,FTP-PATATOR,7938,456056,440012,10.3766,50.189,17.1976
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Tuesday,SSH-PATATOR,5897,456056,437971,0.0813,0.4748,0.1388
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Tuesday,FTP-PATATOR,7938,456056,440012,0.0623,0.0126,0.021
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Tuesday,SSH-PATATOR,5897,456056,437971,1.2315,0.3392,0.5318
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Wednesday,DOS GOLDENEYE,10293,285284,450324,28.2922,48.6544,35.7791
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Wednesday,DOS HULK,231073,285284,671104,89.3756,46.2092,60.9209
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Wednesday,DOS SLOWHTTPTEST,5499,285284,445530,2.3165,5.4737,3.2553
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Wednesday,DOS SLOWLORIS,5796,285284,445827,15.6723,40.7005,22.6305
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Wednesday,HEARTBLEED,11,285284,440042,0.0787,90.9091,0.1573
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Wednesday,DOS GOLDENEYE,10293,285284,450324,0.0,0.0,0.0
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Wednesday,DOS HULK,231073,285284,671104,98.4985,0.8517,1.6888
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Wednesday,DOS SLOWHTTPTEST,5499,285284,445530,6.25,0.0364,0.0723
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Wednesday,DOS SLOWLORIS,5796,285284,445827,9.0909,0.0518,0.1029
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Wednesday,HEARTBLEED,11,285284,440042,0.0,0.0,0.0
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Wednesday,DOS GOLDENEYE,10293,285284,450324,28.1859,49.2082,35.8419
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Wednesday,DOS HULK,231073,285284,671104,89.2789,46.5069,61.1564
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Wednesday,DOS SLOWHTTPTEST,5499,285284,445530,2.1533,5.1646,3.0394
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Wednesday,DOS SLOWLORIS,5796,285284,445827,5.34,12.5604,7.494
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Wednesday,HEARTBLEED,11,285284,440042,0.0774,90.9091,0.1547
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Wednesday,DOS GOLDENEYE,10293,285284,450324,0.0,0.0,0.0
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Wednesday,DOS HULK,231073,285284,671104,98.5456,0.8504,1.6862
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Wednesday,DOS SLOWHTTPTEST,5499,285284,445530,34.0909,0.2728,0.5412
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Wednesday,DOS SLOWLORIS,5796,285284,445827,9.375,0.0518,0.103
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Wednesday,HEARTBLEED,11,285284,440042,0.0,0.0,0.0
