Experiment,Feature-Set,Model,Test-Day,Attack-Type,Attack-Rows,Train-Rows,Test-Rows,Precision,Recall,F1
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Friday,BOT,1966,252620,416288,0.233,2.0346,0.4182
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Friday,DDOS,128027,252620,542349,88.1967,99.9484,93.7055
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Friday,PORTSCAN,158930,252620,573252,9.7925,1.1697,2.0898
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Friday,BOT,1966,252620,416288,0.0,0.0,0.0
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Friday,DDOS,128027,252620,542349,98.3728,63.5124,77.1892
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Friday,PORTSCAN,158930,252620,573252,10.1536,0.0956,0.1895
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Friday,BOT,1966,252620,416288,0.2367,1.9837,0.4229
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Friday,DDOS,128027,252620,542349,88.6161,99.9469,93.9411
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Friday,PORTSCAN,158930,252620,573252,8.4846,0.9589,1.7231
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Friday,BOT,1966,252620,416288,0.0,0.0,0.0
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Friday,DDOS,128027,252620,542349,98.9078,63.5202,77.3591
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Friday,PORTSCAN,158930,252620,573252,15.283,0.1019,0.2025
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Thursday,INFILTRATION,36,468368,456788,0.0032,8.3333,0.0065
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Thursday,WEB ATTACK - BRUTE FORCE,1507,468368,458259,0.0011,0.0664,0.0021
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Thursday,WEB ATTACK - SQL INJECTION,21,468368,456773,0.0011,4.7619,0.0022
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Thursday,WEB ATTACK - XSS,652,468368,457404,0.0216,3.0675,0.0429
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Thursday,INFILTRATION,36,468368,456788,0.0,0.0,0.0
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Thursday,WEB ATTACK - BRUTE FORCE,1507,468368,458259,0.0,0.0,0.0
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Thursday,WEB ATTACK - SQL INJECTION,21,468368,456773,0.1136,9.5238,0.2246
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Thursday,WEB ATTACK - XSS,652,468368,457404,0.9577,2.6074,1.4009
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Thursday,INFILTRATION,36,468368,456788,0.0033,8.3333,0.0065
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Thursday,WEB ATTACK - BRUTE FORCE,1507,468368,458259,0.0011,0.0664,0.0021
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Thursday,WEB ATTACK - SQL INJECTION,21,468368,456773,0.0011,4.7619,0.0022
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Thursday,WEB ATTACK - XSS,652,468368,457404,0.0217,3.0675,0.043
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Thursday,INFILTRATION,36,468368,456788,0.0,0.0,0.0
