Experiment,Feature-Set,Model,Test-Day,Attack-Type,Attack-Rows,Train-Rows,Test-Rows,Precision,Recall,F1
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Friday,BOT,1966,252620,416288,0.213,1.7294,0.3793
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Friday,DDOS,128027,252620,542349,88.9293,99.95,94.1181
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Friday,PORTSCAN,158930,252620,573252,10.4301,1.1672,2.0994
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Friday,BOT,1966,252620,416288,0.0,0.0,0.0
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Friday,DDOS,128027,252620,542349,98.2541,63.5171,77.156
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Friday,PORTSCAN,158930,252620,573252,15.6451,0.1686,0.3337
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Friday,BOT,1966,252620,416288,0.2353,2.1363,0.424
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Friday,DDOS,128027,252620,542349,87.7854,99.95,93.4736
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Friday,PORTSCAN,158930,252620,573252,10.1892,1.271,2.2601
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Friday,BOT,1966,252620,416288,0.0,0.0,0.0
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Friday,DDOS,128027,252620,542349,98.7576,63.5147,77.3091
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Friday,PORTSCAN,158930,252620,573252,16.0099,0.1227,0.2435
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Thursday,INFILTRATION,36,468368,456788,0.0033,8.3333,0.0066
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Thursday,WEB ATTACK - BRUTE FORCE,1507,468368,458259,0.0011,0.0664,0.0022
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Thursday,WEB ATTACK - SQL INJECTION,21,468368,456773,0.0011,4.7619,0.0022
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Thursday,WEB ATTACK - XSS,652,468368,457404,0.0219,3.0675,0.0435
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Thursday,INFILTRATION,36,468368,456788,0.0,0.0,0.0
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Thursday,WEB ATTACK - BRUTE FORCE,1507,468368,458259,0.0,0.0,0.0
