Experiment,Feature-Set,Model,Test-Day,Attack-Type,Attack-Rows,Train-Rows,Test-Rows,Precision,Recall,F1
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Wednesday,HEARTBLEED,11,285284,440042,0.0,0.0,0.0
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Wednesday,DOS GOLDENEYE,10293,285284,450324,32.1284,48.5281,38.661
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Wednesday,DOS HULK,231073,285284,671104,91.0714,46.5784,61.634
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Wednesday,DOS SLOWHTTPTEST,5499,285284,445530,3.933,7.856,5.2418
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Wednesday,DOS SLOWLORIS,5796,285284,445827,18.2712,40.7005,25.2205
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Wednesday,HEARTBLEED,11,285284,440042,0.0852,81.8182,0.1703
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Wednesday,DOS GOLDENEYE,10293,285284,450324,0.0,0.0,0.0
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Wednesday,DOS HULK,231073,285284,671104,99.1568,0.7634,1.5151
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Wednesday,DOS SLOWHTTPTEST,5499,285284,445530,11.7647,0.0364,0.0725
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Wednesday,DOS SLOWLORIS,5796,285284,445827,11.7647,0.0345,0.0688
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Wednesday,HEARTBLEED,11,285284,440042,0.0,0.0,0.0
