Experiment,Feature-Set,Model,Train-Day,Test-Day,Train-Rows,Test-Rows,Accuracy,Precision,Recall,F1
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Tuesday,Wednesday,55340,692703,63.2417,45.6785,4.0871,7.5029
Single-Day-Transfer,Reduced-Features,Random-Forest,Tuesday,Wednesday,55340,692703,63.5145,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Wednesday,Friday,500000,703245,70.1403,93.076,29.5165,44.8197
Single-Day-Transfer,All-features,Random-Forest,Wednesday,Friday,500000,703245,70.288,98.2085,28.1947,43.8115
Single-Day-Transfer,All-features,Logistic-Regression,Wednesday,Monday,500000,529918,98.4658,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Wednesday,Monday,500000,529918,99.8505,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Wednesday,Thursday,500000,458968,97.9774,0.3094,0.9928,0.4717
Single-Day-Transfer,All-features,Random-Forest,Wednesday,Thursday,500000,458968,99.3817,3.1627,0.9477,1.4583
Single-Day-Transfer,All-features,Logistic-Regression,Wednesday,Tuesday,500000,445909,95.8276,31.2618,28.7604,29.959
Single-Day-Transfer,All-features,Random-Forest,Wednesday,Tuesday,500000,445909,95.8763,0.0877,0.0289,0.0435
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Wednesday,Friday,500000,703245,70.1362,93.0626,29.5106,44.8113
Single-Day-Transfer,Reduced-Features,Random-Forest,Wednesday,Friday,500000,703245,70.3537,98.7728,28.1906,43.8624
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Wednesday,Monday,500000,529918,98.4875,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Wednesday,Monday,500000,529918,99.8962,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Wednesday,Thursday,500000,458968,97.9933,0.3267,1.0379,0.497
Single-Day-Transfer,Reduced-Features,Random-Forest,Wednesday,Thursday,500000,458968,99.413,4.0385,0.9477,1.5351
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Wednesday,Tuesday,500000,445909,95.8198,31.1672,28.7387,29.9037
Single-Day-Transfer,Reduced-Features,Random-Forest,Wednesday,Tuesday,500000,445909,95.8958,0.0894,0.0289,0.0437
