Experiment,Feature-Set,Model,Train-Day,Test-Day,Train-Rows,Test-Rows,Accuracy,Precision,Recall,F1
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Monday,500000,529918,99.0482,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Friday,Monday,500000,529918,99.9977,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Thursday,500000,458968,87.8704,0.0019,0.0451,0.0036
Single-Day-Transfer,All-features,Random-Forest,Friday,Thursday,500000,458968,92.5006,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Tuesday,500000,445909,95.7168,0.3584,0.1373,0.1986
Single-Day-Transfer,All-features,Random-Forest,Friday,Tuesday,500000,445909,96.8971,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Wednesday,500000,692703,75.3921,94.6058,34.5044,50.5664
Single-Day-Transfer,All-features,Random-Forest,Friday,Wednesday,500000,692703,63.8551,99.4399,0.9134,1.8102
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Friday,Monday,500000,529918,98.9842,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Friday,Monday,500000,529918,99.9985,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Friday,Thursday,500000,458968,87.8301,0.0019,0.0451,0.0036
Single-Day-Transfer,Reduced-Features,Random-Forest,Friday,Thursday,500000,458968,92.498,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Friday,Tuesday,500000,445909,95.6787,0.3835,0.1518,0.2175
Single-Day-Transfer,Reduced-Features,Random-Forest,Friday,Tuesday,500000,445909,96.8969,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Friday,Wednesday,500000,692703,76.864,94.9106,38.6446,54.9253
Single-Day-Transfer,Reduced-Features,Random-Forest,Friday,Wednesday,500000,692703,63.8634,99.412,0.9368,1.8561
Single-Day-Transfer,All-features,Logistic-Regression,Thursday,Friday,8864,703245,64.5789,73.8029,21.3697,33.1429
Single-Day-Transfer,All-features,Random-Forest,Thursday,Friday,8864,703245,58.6433,9.714,0.08,0.1586
