Experiment,Feature-Set,Model,Train-Day,Test-Day,Train-Rows,Test-Rows,Accuracy,Precision,Recall,F1
Single-Day-Transfer,All-features,Logistic-Regression,Thursday,Monday,8864,529918,96.413,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Thursday,Monday,8864,529918,99.9383,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Thursday,Tuesday,8864,445909,95.5944,38.4254,69.7073,49.5415
Single-Day-Transfer,All-features,Random-Forest,Thursday,Tuesday,8864,445909,97.3739,80.2793,20.3614,32.4839
Single-Day-Transfer,All-features,Logistic-Regression,Thursday,Wednesday,8864,692703,63.4432,49.3303,8.1335,13.9645
Single-Day-Transfer,All-features,Random-Forest,Thursday,Wednesday,8864,692703,63.6352,80.538,0.4029,0.8018
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Thursday,Friday,8864,703245,64.5789,73.8029,21.3697,33.1429
Single-Day-Transfer,Reduced-Features,Random-Forest,Thursday,Friday,8864,703245,57.6674,1.8325,0.0578,0.1121
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Thursday,Monday,8864,529918,96.413,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Thursday,Monday,8864,529918,99.9475,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Thursday,Tuesday,8864,445909,95.5944,38.4254,69.7073,49.5415
Single-Day-Transfer,Reduced-Features,Random-Forest,Thursday,Tuesday,8864,445909,97.3939,82.3874,20.3542,32.6436
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Thursday,Wednesday,8864,692703,63.4432,49.3303,8.1335,13.9645
Single-Day-Transfer,Reduced-Features,Random-Forest,Thursday,Wednesday,8864,692703,63.63,81.3458,0.378,0.7524
Single-Day-Transfer,All-features,Logistic-Regression,Tuesday,Friday,55340,703245,66.2908,90.2622,20.122,32.9079
Single-Day-Transfer,All-features,Random-Forest,Tuesday,Friday,55340,703245,58.9217,69.8113,0.0256,0.0512
Single-Day-Transfer,All-features,Logistic-Regression,Tuesday,Monday,55340,529918,98.4007,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Tuesday,Monday,55340,529918,99.9942,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Tuesday,Thursday,55340,458968,94.8922,0.8657,8.4386,1.5703
Single-Day-Transfer,All-features,Random-Forest,Tuesday,Thursday,55340,458968,99.5143,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Tuesday,Wednesday,55340,692703,64.4571,62.2504,6.5009,11.7724
Single-Day-Transfer,All-features,Random-Forest,Tuesday,Wednesday,55340,692703,63.5206,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Tuesday,Friday,55340,703245,66.2908,90.2622,20.122,32.9079
Single-Day-Transfer,Reduced-Features,Random-Forest,Tuesday,Friday,55340,703245,58.9487,88.1579,0.0928,0.1853
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Tuesday,Monday,55340,529918,98.4007,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Tuesday,Monday,55340,529918,99.9932,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Tuesday,Thursday,55340,458968,94.8922,0.8657,8.4386,1.5703
Single-Day-Transfer,Reduced-Features,Random-Forest,Tuesday,Thursday,55340,458968,99.5141,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Tuesday,Wednesday,55340,692703,64.4571,62.2504,6.5009,11.7724
Single-Day-Transfer,Reduced-Features,Random-Forest,Tuesday,Wednesday,55340,692703,63.5202,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Wednesday,Friday,500000,703245,69.9267,92.9578,28.9977,44.2057
Single-Day-Transfer,All-features,Random-Forest,Wednesday,Friday,500000,703245,70.2995,98.322,28.1895,43.8166
Single-Day-Transfer,All-features,Logistic-Regression,Wednesday,Monday,500000,529918,98.198,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Wednesday,Monday,500000,529918,99.8613,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Wednesday,Thursday,500000,458968,97.9674,0.3074,0.9928,0.4694
Single-Day-Transfer,All-features,Random-Forest,Wednesday,Thursday,500000,458968,99.3947,3.4768,0.9477,1.4894
Single-Day-Transfer,All-features,Logistic-Regression,Wednesday,Tuesday,500000,445909,95.6715,29.6318,28.7387,29.1784
Single-Day-Transfer,All-features,Random-Forest,Wednesday,Tuesday,500000,445909,95.8817,0.1541,0.0506,0.0762
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Wednesday,Friday,500000,703245,69.9658,93.0994,29.0493,44.2816
Single-Day-Transfer,Reduced-Features,Random-Forest,Wednesday,Friday,500000,703245,70.3081,98.3734,28.1954,43.8288
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Wednesday,Monday,500000,529918,98.4564,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Wednesday,Monday,500000,529918,99.8707,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Wednesday,Thursday,500000,458968,97.9887,0.3117,0.9928,0.4744
Single-Day-Transfer,Reduced-Features,Random-Forest,Wednesday,Thursday,500000,458968,99.3947,3.4768,0.9477,1.4894
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Wednesday,Tuesday,500000,445909,95.6657,29.5745,28.7387,29.1506
Single-Day-Transfer,Reduced-Features,Random-Forest,Wednesday,Tuesday,500000,445909,95.8837,0.0883,0.0289,0.0436
